time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
1.97,stage1,True,0.0,0.05,-4.22794013243515e+49,1.0,-0.24999999999999445,100000.0,21000000.0
1.98,stage1,True,0.0,0.05,7.725053184129164e+49,-1.0,-0.49999999999999467,21000000.0,100000.0
1.99,stage1,True,0.0,0.05,-1.4114780443509384e+50,1.0,-0.24999999999999445,100000.0,21000000.0
2.0,stage1,True,0.0,0.08,2.578972884973525e+50,-1.0,-0.49999999999999467,21000000.0,100000.0
2.01,stage1,True,0.0,0.08,-4.712153453641965e+50,1.0,-0.25,100000.0,21000000.0
2.02,stage1,True,0.0,0.08,8.609780389723827e+50,-1.0,-0.5000000000000058,21000000.0,100000.0
2.03,stage1,True,0.0,0.08,-1.573130397567201e+51,1.0,-0.2500000000000111,100000.0,21000000.0
2.04,stage1,True,0.0,0.08,2.8743349257831237e+51,-1.0,-0.5000000000000131,21000000.0,100000.0
2.05,stage1,True,0.0,0.08,-5.251822276367642e+51,1.0,-0.25000000000001843,100000.0,21000000.0
2.06,stage1,True,0.0,0.08,9.59583275252584e+51,-1.0,-0.5000000000000181,21000000.0,100000.0
2.07,stage1,True,0.0,0.08,-1.7532963106685605e+52,1.0,-0.2500000000000234,100000.0,21000000.0
2.08,stage1,True,0.0,0.08,3.203523896553567e+52,-1.0,-0.5000000000000213,21000000.0,100000.0
2.09,stage1,True,0.0,0.08,-5.853297753118396e+52,1.0,-0.25000000000002665,100000.0,21000000.0
2.1,stage1,True,0.0,0.08,1.069481473933402e+53,-1.0,-0.5000000000000235,21000000.0,100000.0
2.11,stage1,True,0.0,0.08,-1.9540960862226736e+53,1.0,-0.25000000000002887,100000.0,21000000.0
2.12,stage1,True,0.0,0.08,3.5704138942658804e+53,-1.0,-0.500000000000025,21000000.0,100000.0
2.13,stage1,True,0.0,0.08,-6.523658414876358e+53,1.0,-0.2500000000000303,100000.0,21000000.0
2.14,stage1,True,0.0,0.08,1.1919659841775497e+54,-1.0,-0.500000000000026,21000000.0,100000.0
2.15,stage1,True,0.0,0.08,-2.1778928587003746e+54,1.0,-0.2500000000000313,100000.0,21000000.0
2.16,stage1,True,0.0,0.08,3.979322704625776e+54,-1.0,-0.5000000000000266,21000000.0,100000.0
2.17,stage1,True,0.0,0.08,-7.270793475577744e+54,1.0,-0.250000000000032,100000.0,21000000.0
2.18,stage1,True,0.0,0.08,1.328478278553919e+55,-1.0,-0.5000000000000271,21000000.0,100000.0
2.19,stage1,True,0.0,0.08,-2.427320405286143e+55,1.0,-0.2500000000000324,100000.0,21000000.0
2.2,stage1,True,0.0,0.08,4.435062616404606e+55,-1.0,-0.5000000000000274,21000000.0,100000.0
2.21,stage1,True,0.0,0.08,-8.103495677203665e+55,1.0,-0.25000000000003275,100000.0,21000000.0
2.22,stage1,True,0.0,0.08,1.4806249171676864e+56,-1.0,-0.5000000000000276,21000000.0,100000.0
2.23,stage1,True,0.0,0.08,-2.7053141417775617e+56,1.0,-0.250000000000033,100000.0,21000000.0
2.24,stage1,True,0.0,0.08,4.9429970553944935e+56,-1.0,-0.5000000000000278,21000000.0,100000.0
2.25,stage1,True,0.0,0.08,-9.031564768141141e+56,1.0,-0.2500000000000331,100000.0,21000000.0
2.26,stage1,True,0.0,0.08,1.6501964546411327e+57,-1.0,-0.5000000000000168,21000000.0,100000.0
2.27,stage1,True,0.0,0.08,-3.015145668352505e+57,1.0,-0.250000000000011,100000.0,21000000.0
2.28,stage1,True,0.0,0.08,5.509103704479687e+57,-1.0,-0.500000000000002,21000000.0,100000.0
2.29,stage1,True,0.0,0.08,-1.0065922832611657e+58,1.0,-0.24999999999999623,100000.0,21000000.0
2.3,stage1,True,0.0,0.08,1.8391885124557798e+58,-1.0,-0.4999999999999909,21000000.0,100000.0
2.31,stage1,True,0.0,0.08,-3.360461271758581e+58,1.0,-0.24999999999998512,100000.0,21000000.0
2.32,stage1,True,0.0,0.08,6.140044852665886e+58,-1.0,-0.4999999999999798,21000000.0,100000.0
2.33,stage1,True,0.0,0.08,-1.1218742828430108e+59,1.0,-0.24999999999997402,100000.0,21000000.0
2.34,stage1,True,0.0,0.08,2.0498252646440043e+59,-1.0,-0.4999999999999687,21000000.0,100000.0
2.35,stage1,True,0.0,0.08,-3.745324837044988e+59,1.0,-0.24999999999996292,100000.0,21000000.0
2.36,stage1,True,0.0,0.08,6.843245800962729e+59,-1.0,-0.4999999999999576,21000000.0,100000.0
2.37,stage1,True,0.0,0.08,-1.2503591845815582e+60,1.0,-0.24999999999995182,100000.0,21000000.0
2.38,stage1,True,0.0,0.08,2.284585613229186e+60,-1.0,-0.4999999999999465,21000000.0,100000.0
2.39,stage1,True,0.0,0.08,-4.1742656738446195e+60,1.0,-0.24999999999994071,100000.0,21000000.0
2.4,stage1,True,0.0,0.08,7.626982247867682e+60,-1.0,-0.4999999999999354,21000000.0,100000.0
2.41,stage1,True,0.0,0.08,-1.3935590773197475e+61,1.0,-0.2499999999999296,100000.0,21000000.0
2.42,stage1,True,0.0,0.08,2.5462323614594678e+61,-1.0,-0.4999999999999243,21000000.0,100000.0
2.43,stage1,True,0.0,0.08,-4.652331820057876e+61,1.0,-0.2499999999999185,100000.0,21000000.0
2.44,stage1,True,0.0,0.08,8.500477682842419e+61,-1.0,-0.4999999999999132,21000000.0,100000.0
2.45,stage1,True,0.0,0.08,-1.5531592249071794e+62,1.0,-0.2499999999999074,100000.0,21000000.0
2.46,stage1,True,0.0,0.08,2.8378447281647374e+62,-1.0,-0.4999999999999021,21000000.0,100000.0
2.47,stage1,True,0.0,0.08,-5.185149450247639e+62,1.0,-0.2499999999998963,100000.0,21000000.0
2.48,stage1,True,0.0,0.08,9.47401193397344e+62,-1.0,-0.499999999999891,21000000.0,100000.0
2.49,stage1,True,0.0,0.08,-1.7310378994149914e+63,1.0,-0.2499999999998852,100000.0,21000000.0
2.5,stage1,True,500.0,0.08,3.1628545858856017e+63,-1.0,-0.4999999999998799,21000000.0,100000.0
2.51,stage1,True,500.0,0.08,-5.77898908789877e+63,1.0,-0.2499999999998852,100000.0,21000000.0
2.52,stage1,True,500.0,0.08,1.05590421472719e+64,-1.0,-0.499999999999891,21000000.0,100000.0
2.53,stage1,True,500.0,0.08,-1.9292884857890698e+64,1.0,-0.2499999999998963,100000.0,21000000.0
2.54,stage1,True,500.0,0.08,3.5250868492469425e+64,-1.0,-0.4999999999999021,21000000.0,100000.0
2.55,stage1,True,500.0,0.08,-6.440839400774337e+64,1.0,-0.2499999999999074,100000.0,21000000.0
2.56,stage1,True,500.0,0.08,1.1768337621366748e+65,-1.0,-0.4999999999999132,21000000.0,100000.0
2.57,stage1,True,500.0,0.08,-2.150244118084819e+65,1.0,-0.2499999999999185,100000.0,21000000.0
2.58,stage1,True,500.0,0.08,3.9288044888897455e+65,-1.0,-0.4999999999999243,21000000.0,100000.0
2.59,stage1,True,500.0,0.08,-7.17848944782338e+65,1.0,-0.2499999999999296,100000.0,21000000.0
2.6,stage1,True,0.0,0.08,1.3116130084418467e+66,-1.0,-0.4999999999999354,21000000.0,100000.0
2.61,stage1,True,0.0,0.08,-2.3965051372124663e+66,1.0,-0.24999999999994071,100000.0,21000000.0
2.62,stage1,True,0.0,0.08,4.3787587007161695e+66,-1.0,-0.4999999999999465,21000000.0,100000.0
2.63,stage1,True,0.0,0.08,-8.000620345589797e+66,1.0,-0.24999999999995182,100000.0,21000000.0
2.64,stage1,True,0.0,0.08,1.4618281181790875e+67,-1.0,-0.4999999999999576,21000000.0,100000.0
2.65,stage1,True,0.0,0.08,-2.6709696933393465e+67,1.0,-0.24999999999996292,100000.0,21000000.0
2.66,stage1,True,0.0,0.08,4.8802448208655686e+67,-1.0,-0.4999999999999687,21000000.0,100000.0
2.67,stage1,True,0.0,0.08,-8.916907432896519e+67,1.0,-0.24999999999997402,100000.0,21000000.0
2.68,stage1,True,0.0,0.08,1.629246914558761e+68,-1.0,-0.4999999999999798,21000000.0,100000.0
2.69,stage1,True,0.0,0.08,-2.976867853091858e+68,1.0,-0.24999999999998512,100000.0,21000000.0
2.7,stage1,True,0.0,0.08,5.439164644466441e+68,-1.0,-0.4999999999999909,21000000.0,100000.0
2.71,stage1,True,0.0,0.08,-9.938134136145373e+68,1.0,-0.24999999999999623,100000.0,21000000.0
2.72,stage1,True,0.0,0.08,1.8158396842891016e+69,-1.0,-0.500000000000002,21000000.0,100000.0
2.73,stage1,True,0.0,0.08,-3.3177996129534688e+69,1.0,-0.2500000000000073,100000.0,21000000.0
2.74,stage1,True,0.0,0.08,6.062095881568207e+69,-1.0,-0.5000000000000107,21000000.0,100000.0
2.75,stage1,True,0.0,0.08,-1.1076318875268967e+70,1.0,-0.250000000000016,100000.0,21000000.0
2.76,stage1,True,0.0,0.08,2.02380236511391e+70,-1.0,-0.5000000000000053,21000000.0,100000.0
2.77,stage1,True,0.0,0.08,-3.6977772662235996e+70,1.0,-0.24999999999999956,100000.0,21000000.0
2.78,stage1,True,0.0,0.08,6.756369567651529e+70,-1.0,-0.4999999999999942,21000000.0,100000.0
2.79,stage1,True,0.0,0.08,-1.2344856503841988e+71,1.0,-0.24999999999998845,100000.0,21000000.0
2.8,stage1,True,0.0,0.08,2.2555823889512574e+71,-1.0,-0.4999999999999831,21000000.0,100000.0
2.81,stage1,True,0.0,0.08,-4.1212726221361966e+71,1.0,-0.24999999999997735,100000.0,21000000.0
2.82,stage1,True,0.0,0.08,7.530156339738979e+71,-1.0,-0.499999999999972,21000000.0,100000.0
2.83,stage1,True,0.0,0.08,-1.3758675947900475e+72,1.0,-0.24999999999996625,100000.0,21000000.0
2.84,stage1,True,0.0,0.08,2.513907484766075e+72,-1.0,-0.4999999999999609,21000000.0,100000.0
