"time","soc","T_core_C","voltage_V","current_A","pump_cmd","fan_cmd","mode","coolant_in_temp_C","coolant_flow_kgps","T_surface_C"
292.0,0.7376514721323434,32.463255558318934,375.3566182744314,47.95425181807817,0.0,0.0,0.0,35.0,0.0,31.2530787928196
293.0,0.7374294580297825,32.47198323752733,375.3453131022137,47.955696130630976,0.0,0.0,0.0,35.0,0.0,31.25710773133266
294.0,0.7372074372394524,32.48071086070841,375.3340051152961,47.95714088981318,0.0,0.0,0.0,35.0,0.0,31.26113511564995
295.0,0.7369854097592845,32.489438427829754,375.32269431267014,47.958586095826554,0.0,0.0,0.0,35.0,0.0,31.265160947902803
296.0,0.7367633755872098,32.49816593885918,375.3113806933261,47.96003174887301,0.0,0.0,0.0,35.0,0.0,31.269185230219588
297.0,0.7365413347211582,32.506893393764834,375.3000642562536,47.961477849154626,0.0,0.0,0.0,35.0,0.0,31.27320796472567
298.0,0.7363192871590591,32.51562079251513,375.28874500044134,47.96292439687367,0.0,0.0,0.0,35.0,0.0,31.27722915354348
299.0,0.73609723289884,32.524348135078746,375.27742292487727,47.964371392232565,0.0,0.0,0.0,35.0,0.0,31.281248798792475
300.0,0.7358751719384278,32.533075421424655,375.2660980285486,47.9658188354339,0.0,0.0,0.0,35.0,0.0,31.28526690258915
301.0,0.7356531042757487,32.54180265152212,375.2547703104411,47.967266726680464,0.0,0.0,0.0,35.0,0.0,31.289283467047063
302.0,0.7354310299087282,32.550529825340675,375.24343976954054,47.96871506617516,0.0,0.0,0.0,35.0,0.0,31.29329849427682
303.0,0.7352089488352904,32.559256942850105,375.23210640483114,47.970163854121125,0.0,0.0,0.0,35.0,0.0,31.29731198638608
304.0,0.7349868610533588,32.567984004020516,375.2207702152966,47.97161309072162,0.0,0.0,0.0,35.0,0.0,31.301323945479567
305.0,0.7347647665608554,32.57671100882227,375.2094311999197,47.97306277618008,0.0,0.0,0.0,35.0,0.0,31.30533437365906
