time,stage_id,y,_output,x2
0.921,stage1,0,0,0
0.922,stage1,0,0,0
0.923,stage1,0,0,0
0.924,stage1,0,0,0
0.925,stage1,0,0,0
0.926,stage1,0,0,0
0.927,stage1,0,0,0
0.928,stage1,0,0,0
0.929,stage1,0,0,0
0.93,stage1,0,0,0
0.931,stage1,0,0,0
0.932,stage1,0,0,0
0.933,stage1,0,0,0
0.934,stage1,0,0,0
0.935,stage1,0,0,0
0.936,stage1,0,0,0
0.937,stage1,0,0,0
0.938,stage1,0,0,0
0.939,stage1,0,0,0
0.94,stage1,0,0,0
0.941,stage1,0,0,0
0.942,stage1,0,0,0
0.943,stage1,0,0,0
0.944,stage1,0,0,0
0.945,stage1,0,0,0
0.946,stage1,0,0,0
0.947,stage1,0,0,0
0.948,stage1,0,0,0
0.949,stage1,0,0,0
0.95,stage1,0,0,0
0.951,stage1,0,0,0
0.952,stage1,0,0,0
0.953,stage1,0,0,0
0.954,stage1,0,0,0
0.955,stage1,0,0,0
0.956,stage1,0,0,0
0.957,stage1,0,0,0
0.958,stage1,0,0,0
0.959,stage1,0,0,0
0.96,stage1,0,0,0
0.961,stage1,0,0,0
0.962,stage1,0,0,0
0.963,stage1,0,0,0
0.964,stage1,0,0,0
0.965,stage1,0,0,0
0.966,stage1,0,0,0
0.967,stage1,0,0,0
0.968,stage1,0,0,0
0.969,stage1,0,0,0
0.97,stage1,0,0,0
0.971,stage1,0,0,0
0.972,stage1,0,0,0
0.973,stage1,0,0,0
0.974,stage1,0,0,0
0.975,stage1,0,0,0
0.976,stage1,0,0,0
0.977,stage1,0,0,0
0.978,stage1,0,0,0
0.979,stage1,0,0,0
0.98,stage1,0,0,0
0.981,stage1,0,0,0
0.982,stage1,0,0,0
0.983,stage1,0,0,0
0.984,stage1,0,0,0
0.985,stage1,0,0,0
0.986,stage1,0,0,0
0.987,stage1,0,0,0
0.988,stage1,0,0,0
0.989,stage1,0,0,0
0.99,stage1,0,0,0
0.991,stage1,0,0,0
0.992,stage1,0,0,0
