time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,force_cmd_N
5.659,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,6.742741040598496e-05,0.087769741741487,0.0
5.66,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00010656569391568681,0.05862084371011896,0.0
5.661,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00032431549263215267,0.08585712614705376,0.0
5.662,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0040433520716875474,0.003199168910486695,0.0
5.663,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0004382174567033169,0.06072330937039711,0.0
5.664,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.005660539460365179,0.0743228581292083,0.0
5.665,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0016874684641456693,0.06440811730050333,0.0
5.666,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0010287243612717325,0.03894092599068679,0.0
5.667,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0011370438716037212,0.06144164521715778,0.0
5.668,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004987809972169515,0.067925767995373,0.0
5.669,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.000726051817279889,0.0612625941261795,0.0
5.67,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004409771551112104,0.0632988295166399,0.0
5.671,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0030446245454238425,0.042158995871211226,0.0
5.672,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0016811635512152324,0.04509728684926001,0.0
5.673,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0034752814353523546,0.02181555610162224,0.0
5.674,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00021061118130181596,0.06209123798584133,0.0
5.675,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0012412044330882388,0.06510838732142686,0.0
5.676,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00036426380077437685,0.0452660551331826,0.0
5.677,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002893593994561961,0.07079193222654429,0.0
5.678,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0005355208685169945,0.051640535171547784,0.0
5.679,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.005998244880874864,0.03640126365539687,0.0
5.68,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003433797522431255,0.031473880581693967,0.0
5.681,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0025177104309998858,0.03510270320621692,0.0
5.682,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004079705877216665,0.024044365293978957,0.0
5.683,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0012987725827881599,0.04278539786528774,0.0
5.684,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0009294988580232592,0.018322385738464918,0.0
5.685,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.001165510691389573,0.029951028837422806,0.0
5.686,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0004673498262692065,0.053828577008544765,0.0
5.687,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00634482170401334,0.040897017150887546,0.0
5.688,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.003509902265470644,0.052161039086897294,0.0
5.689,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.004262719990004746,0.055856489697934726,0.0
5.69,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003566436026708403,0.0746320569154317,0.0
5.691,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00026421942599372396,0.030873744015617637,0.0
5.692,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0034641739845501936,0.037383766516425054,0.0
5.693,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0042346572678234,0.04717865190281985,0.0
5.694,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0017776847505430948,0.03735992351236315,0.0
5.695,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0007938694412396768,0.08584222558533539,0.0
5.696,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.002382363301387728,0.05934622457093822,0.0
5.697,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.006531489880703579,0.039161173642955,0.0
5.698,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0014231534625768231,0.0510260718921691,0.0
5.699,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004237292815121682,0.011015956397302754,0.0
5.7,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.005661434396267615,0.025117657972677745,0.0
5.701,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0010810295218852222,0.017509363372100566,0.0
5.702,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.005206299489872584,0.019072982270026993,0.0
5.703,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0024573160867320497,0.03577927893533997,0.0
5.704,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0024781640275472355,0.042467584224262715,0.0
5.705,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,6.28616622049681e-05,0.02439610148827876,0.0
5.706,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0043497144052466645,0.04604476966408001,0.0
5.707,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0006246866780709424,0.08197783602672248,0.0
5.708,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0007364807315569443,0.05484655661165101,0.0
5.709,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0005935531212839846,0.034264552152655885,0.0
5.71,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.001195204199572679,0.048131915672526004,0.0
5.711,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0026102805621390263,0.021450965531072168,0.0
5.712,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0004837465794496291,0.05151444830971424,0.0
5.713,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0058918006120791105,0.06121510179393979,0.0
5.714,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0033515468401594762,0.04796179025755899,0.0
5.715,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0014157330240886015,0.06368202690108872,0.0
5.716,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0004640481733242019,0.06219530601674045,0.0
5.717,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0006502554484166147,0.05668261139063528,0.0
