"time","x_m","x_dot_mps","theta_rad","theta_dot_radps","force_cmd_N"
6.52,0.23491066156838064,-0.24393671556990223,0.030258733591149937,0.16988813709732242,1.0502403551417343
6.53,0.23253349963666795,-0.23261255623714433,0.03187461228631671,0.15484812433008321,1.0572378399945839
6.54,0.23027001921141368,-0.22121436853016832,0.03334204751454526,0.14016934102124948,1.0605585877871286
6.55,0.22812074904955615,-0.20978008614263133,0.03466484011746092,0.12588514374880783,1.0605438311563438
6.56,0.22608585730151093,-0.19834427903532043,0.03584709192647907,0.11202306770122626,1.0575064737428486
6.57,0.22416518366579727,-0.18693841921080334,0.03689315113396988,0.09860546802540902,1.051733744250246
6.58,0.22235826902049136,-0.17559112240528194,0.037807563707624364,0.08565009492399583,1.0434895760457596
6.59,0.22066438275870798,-0.16432836813735402,0.03859503022349346,0.07317060930343186,1.0330167400962553
6.6,0.21908254803225982,-0.1531737003121271,0.03926036755749346,0.06117704511130933,1.02053875663582
6.61,0.21761156508689128,-0.14214841035791342,0.039808474933169045,0.0496762238937766,1.0062616086916636
6.62,0.21625003285383923,-0.13127170467057858,0.0402443038757164,0.03867212654829611,0.9903752784597213
6.63,0.21499636894574897,-0.12056085795646766,0.040572831669197,0.0281662267406563,0.9730551255237758
6.64,0.21384882818999829,-0.11003135389762139,0.0407990379559935,0.01815778999482045,0.9544631240533086
6.65,0.21280551981909,-0.09969701441161548,0.0409278841553153,0.0086441420468486,0.9347489743951245
6.66,0.2118644234258137,-0.08957011864170872,0.04096429541136592,-0.0003790903233040267,0.91405110288951
6.67,0.21102340378020773,-0.07966151268997122,0.04091314481202093,-0.00891776310882531,0.8924975622893667
6.68,0.21028022459584284,-0.06998071099561073,0.04077923964588432,-0.016979020975157424,0.8702068438349571
6.69,0.20963256132448124,-0.060535990161781385,0.04056730948972097,-0.02457112294975965,0.8472886108319315
6.7,0.2090780130506242,-0.05133447594574616,0.0402819959397959,-0.031703285857952554,0.8238443624887735
