time,stage_id,valve,level,y,_output
67.5,stage1,1,1.4105107783284387,141,0
67.6,stage1,1,1.359590655382094,136,0
67.7,stage1,1,1.3139290322727661,131,0
67.8,stage1,1,1.2729828659177616,127,0
67.9,stage1,1,1.23626519306681,124,0
68.0,stage1,1,1.203339338961187,120,0
68.1,stage1,1,1.1738137240621835,117,0
68.2,stage1,1,1.1473372070865664,115,0
68.3,stage1,1,1.123594908964815,112,0
68.4,stage1,1,1.102304468057453,110,0
68.5,stage1,1,1.0832126820936265,108,0
68.6,stage1,1,1.0660924968952756,107,0
68.7,stage1,1,1.050740306074513,105,0
68.8,stage1,1,1.0369735295901192,104,0
68.9,stage1,1,1.0246284423655034,102,0
69.0,stage1,1,1.013558227144379,101,0
69.1,stage1,1,1.003631228427216,100,0
69.2,stage1,1,0.9947293867229552,99,0
69.3,stage1,0,1.0929222950037438,109,0
69.4,stage1,0,1.1929222950037461,119,0
69.5,stage1,0,1.2929222950037484,129,0
69.6,stage1,0,1.3929222950037508,139,0
69.7,stage1,0,1.492922295003753,149,0
69.8,stage1,0,1.5929222950037554,159,0
69.9,stage1,0,1.6929222950037577,169,0
70.0,stage1,0,1.79292229500376,179,0
70.1,stage1,0,1.8929222950037623,189,0
70.2,stage1,0,1.9929222950037646,199,0
70.3,stage1,0,2.0929222950037625,209,0
70.4,stage1,1,1.9749393158047386,197,0
70.5,stage1,1,1.865730893447684,187,0
70.6,stage1,1,1.767800379271851,177,0
70.7,stage1,1,1.679983108408004,168,0
70.8,stage1,1,1.6012346904416914,160,0
70.9,stage1,1,1.5306185887205201,153,0
71.0,stage1,1,1.4672949823411778,147,0
71.1,stage1,1,1.4105107783544006,141,0
71.2,stage1,1,1.3595906554053743,136,0
71.3,stage1,1,1.3139290322936417,131,0
71.4,stage1,1,1.2729828659364812,127,0
71.5,stage1,1,1.2362651930835975,124,0
71.6,stage1,1,1.2033393389762415,120,0
71.7,stage1,1,1.1738137240756836,117,0
71.8,stage1,1,1.147337207098672,115,0
71.9,stage1,1,1.1235949089756703,112,0
72.0,stage1,1,1.1023044680671878,110,0
72.1,stage1,1,1.083212682102356,108,0
72.2,stage1,1,1.0677217685183422,107,0
72.3,stage1,1,1.0522013234973018,105,0
72.4,stage1,1,1.0382836683536458,104,0
72.5,stage1,1,1.0258032836459174,103,0
72.6,stage1,1,1.0146117430562727,101,0
72.7,stage1,1,1.0045759481907415,100,0
72.8,stage1,1,0.9955765456709316,100,0
72.9,stage1,0,1.0937679149462982,109,0
73.0,stage1,0,1.1937679149463005,119,0
73.1,stage1,0,1.2937679149463028,129,0
73.2,stage1,0,1.3937679149463051,139,0
73.3,stage1,0,1.4937679149463075,149,0
73.4,stage1,0,1.5937679149463098,159,0
73.5,stage1,0,1.693767914946312,169,0
73.6,stage1,0,1.7937679149463144,179,0
73.7,stage1,0,1.8937679149463167,189,0
73.8,stage1,0,1.993767914946319,199,0
73.9,stage1,0,2.093767914946317,209,0
74.0,stage1,1,1.975698986494572,198,0
74.1,stage1,1,1.8664121132625477,187,0
