time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
15.792,stage1,0.0,True,False,0.2,1.187092161285638,-17.369420834734758,-17.596500365466788,-0.31939115527573875,-10.262861073947224,-10.67797186217767,12.299390435950494,1.48186710420676,12.331814158453506,12.651205313729244
15.793,stage1,0.0,True,False,0.2,1.1764141894234663,-17.357121444298812,-17.591698652950473,-0.31920292814509926,-10.357603852468227,-10.766688880242079,12.34750365782535,1.4931411818877756,12.378572536950308,12.697775465095408
15.794,stage1,0.0,True,False,0.2,1.165647500543211,-17.344773940640973,-17.58671032599747,-0.31900738572854154,-10.450451775418976,-10.85378194863297,12.392362272031137,1.5072736162381624,12.433311356438903,12.752318742167445
15.795,stage1,0.0,True,False,0.2,1.154793718594584,-17.33238157836895,-17.581596460505267,-0.31880692220124723,-10.541442739910547,-10.939247614633981,12.434055502784696,1.5185388701515166,12.503886274695756,12.822693196897003
15.796,stage1,0.0,True,False,0.2,1.143854470979956,-17.319947522866173,-17.576291578344286,-0.31859897082053673,-10.630613885112286,-11.023082524664575,12.47267480048847,1.5332035690827723,12.515654540992696,12.834253511813232
15.797,stage1,0.0,True,False,0.2,1.132831388455278,-17.30747484806567,-17.570923202053848,-0.3183885304699516,-10.718001607410146,-11.105283397640768,12.50831373716191,1.5416831577160153,12.560029164242946,12.878417694712898
15.798,stage1,0.0,True,False,0.2,1.1217261050576435,-17.294966534328516,-17.565270144434223,-0.3181669306112623,-10.803641575261896,-11.185846999391039,12.541067905007873,1.561285600466352,12.62407289923282,12.942239829844082
15.799,stage1,0.0,True,False,0.2,1.1105402580582586,-17.282425466423515,-17.559514495844947,-0.31794130918656266,-10.887568743756612,-11.26477011818427,12.571034818196743,1.5720682065684635,12.621049533186168,12.93899084237273
15.8,stage1,0.0,True,False,0.2,1.0992754879400606,-17.269854431605303,-17.553666705688734,-0.31771207581243904,-10.96981736888158,-11.342049541415479,12.598313817921618,1.5824309335041882,12.63111673952526,12.948828815337698
15.801,stage1,0.0,True,False,0.2,1.0879334383986514,-17.25725611778739,-17.547745770295478,-0.31747997514502346,-11.050421021503904,-11.417682033492229,12.623005980753897,1.591935985512908,12.688287203265231,13.005767178410254
15.802,stage1,0.0,True,False,0.2,1.0765157563651655,-17.244633111806642,-17.541721393223085,-0.3172438195637857,-11.129412601073783,-11.491664314957573,12.64521403030425,1.603029004863032,12.708268812327091,13.025512631890876
