time,stage_id,valve,level,leak
6.64,stage1,False,1.0,False
6.65,stage1,False,1.0,False
6.66,stage1,False,1.0,False
6.67,stage1,False,1.0,False
6.68,stage1,False,1.0,False
6.69,stage1,False,1.0,False
6.7,stage1,False,1.0,False
6.71,stage1,False,1.0,False
6.72,stage1,False,1.0,False
6.73,stage1,False,1.0,False
6.74,stage1,False,1.0,False
6.75,stage1,False,1.0,False
6.76,stage1,False,1.0,False
6.77,stage1,False,1.0,False
6.78,stage1,False,1.0,False
6.79,stage1,False,1.0,False
6.8,stage1,False,1.0,False
6.81,stage1,False,1.0,False
6.82,stage1,False,1.0,False
6.83,stage1,False,1.0,False
6.84,stage1,False,1.0,False
6.85,stage1,False,1.0,False
6.86,stage1,False,1.0,False
6.87,stage1,False,1.0,False
6.88,stage1,False,1.0,False
6.89,stage1,False,1.0,False
6.9,stage1,False,1.0,False
6.91,stage1,False,1.0,False
6.92,stage1,False,1.0,False
6.93,stage1,False,1.0,False
6.94,stage1,False,1.0,False
6.95,stage1,False,1.0,False
6.96,stage1,False,1.0,False
6.97,stage1,False,1.0,False
6.98,stage1,False,1.0,False
6.99,stage1,False,1.0,False
7.0,stage1,False,1.0,False
7.01,stage1,False,1.0,False
7.02,stage1,False,1.0,False
7.03,stage1,False,1.0,False
7.04,stage1,False,1.0,False
7.05,stage1,False,1.0,False
7.06,stage1,False,1.0,False
7.07,stage1,False,1.0,False
7.08,stage1,False,1.0,False
7.09,stage1,False,1.0,False
7.1,stage1,False,1.0,False
7.11,stage1,False,1.0,False
7.12,stage1,False,1.0,False
7.13,stage1,False,1.0,False
7.14,stage1,False,1.0,False
7.15,stage1,False,1.0,False
7.16,stage1,False,1.0,False
7.17,stage1,False,1.0,False
7.18,stage1,False,1.0,False
7.19,stage1,False,1.0,False
7.2,stage1,False,1.0,False
7.21,stage1,False,1.0,False
7.22,stage1,False,1.0,False
7.23,stage1,False,1.0,False
7.24,stage1,False,1.0,False
7.25,stage1,False,1.0,False
7.26,stage1,False,1.0,False
7.27,stage1,False,1.0,False
7.28,stage1,False,1.0,False
7.29,stage1,False,1.0,False
7.3,stage1,False,1.0,False
7.31,stage1,False,1.0,False
7.32,stage1,False,1.0,False
7.33,stage1,False,1.0,False
7.34,stage1,False,1.0,False
7.35,stage1,False,1.0,False
7.36,stage1,False,1.0,False
7.37,stage1,False,1.0,False
7.38,stage1,False,1.0,False
7.39,stage1,False,1.0,False
7.4,stage1,False,1.0,False
7.41,stage1,False,1.0,False
7.42,stage1,False,1.0,False
7.43,stage1,False,1.0,False
7.44,stage1,False,1.0,False
7.45,stage1,False,1.0,False
7.46,stage1,False,1.0,False
7.47,stage1,False,1.0,False
7.48,stage1,False,1.0,False
7.49,stage1,False,1.0,False
7.5,stage1,False,1.0,False
7.51,stage1,False,1.0,False
7.52,stage1,False,1.0,False
7.53,stage1,False,1.0,False
7.54,stage1,False,1.0,False
7.55,stage1,False,1.0,False
7.56,stage1,False,1.0,False
7.57,stage1,False,1.0,False
7.58,stage1,False,1.0,False
7.59,stage1,False,1.0,False
7.6,stage1,False,1.0,False
7.61,stage1,False,1.0,False
7.62,stage1,False,1.0,False
7.63,stage1,False,1.0,False
7.64,stage1,False,1.0,False
7.65,stage1,False,1.0,False
7.66,stage1,False,1.0,False
7.67,stage1,False,1.0,False
7.68,stage1,False,1.0,False
7.69,stage1,False,1.0,False
7.7,stage1,False,1.0,False
7.71,stage1,False,1.0,False
7.72,stage1,False,1.0,False
7.73,stage1,False,1.0,False
7.74,stage1,False,1.0,False
7.75,stage1,False,1.0,False
7.76,stage1,False,1.0,False
7.77,stage1,False,1.0,False
7.78,stage1,False,1.0,False
7.79,stage1,False,1.0,False
7.8,stage1,False,1.0,False
7.81,stage1,False,1.0,False
7.82,stage1,False,1.0,False
7.83,stage1,False,1.0,False
7.84,stage1,False,1.0,False
7.85,stage1,False,1.0,False
7.86,stage1,False,1.0,False
7.87,stage1,False,1.0,False
7.88,stage1,False,1.0,False
7.89,stage1,False,1.0,False
7.9,stage1,False,1.0,False
7.91,stage1,False,1.0,False
7.92,stage1,False,1.0,False
7.93,stage1,False,1.0,False
7.94,stage1,False,1.0,False
7.95,stage1,False,1.0,False
7.96,stage1,False,1.0,False
7.97,stage1,False,1.0,False
7.98,stage1,False,1.0,False
7.99,stage1,False,1.0,False
8.0,stage1,False,1.0,False
8.01,stage1,False,1.0,False
8.02,stage1,False,1.0,False
8.03,stage1,False,1.0,False
8.04,stage1,False,1.0,False
8.05,stage1,False,1.0,False
8.06,stage1,False,1.0,False
8.07,stage1,False,1.0,False
8.08,stage1,False,1.0,False
8.09,stage1,False,1.0,False
8.1,stage1,False,1.0,False
8.11,stage1,False,1.0,False
8.12,stage1,False,1.0,False
8.13,stage1,False,1.0,False
8.14,stage1,False,1.0,False
8.15,stage1,False,1.0,False
8.16,stage1,False,1.0,False
8.17,stage1,False,1.0,False
8.18,stage1,False,1.0,False
8.19,stage1,False,1.0,False
8.2,stage1,False,1.0,False
8.21,stage1,False,1.0,False
8.22,stage1,False,1.0,False
8.23,stage1,False,1.0,False
8.24,stage1,False,1.0,False
8.25,stage1,False,1.0,False
8.26,stage1,False,1.0,False
8.27,stage1,False,1.0,False
8.28,stage1,False,1.0,False
8.29,stage1,False,1.0,False
8.3,stage1,False,1.0,False
8.31,stage1,False,1.0,False
8.32,stage1,False,1.0,False
8.33,stage1,False,1.0,False
8.34,stage1,False,1.0,False
8.35,stage1,False,1.0,False
8.36,stage1,False,1.0,False
8.37,stage1,False,1.0,False
8.38,stage1,False,1.0,False
8.39,stage1,False,1.0,False
8.4,stage1,False,1.0,False
8.41,stage1,False,1.0,False
8.42,stage1,False,1.0,False
8.43,stage1,False,1.0,False
8.44,stage1,False,1.0,False
8.45,stage1,False,1.0,False
8.46,stage1,False,1.0,False
8.47,stage1,False,1.0,False
8.48,stage1,False,1.0,False
8.49,stage1,False,1.0,False
8.5,stage1,False,1.0,False
8.51,stage1,False,1.0,False
8.52,stage1,False,1.0,False
8.53,stage1,False,1.0,False
8.54,stage1,False,1.0,False
8.55,stage1,False,1.0,False
8.56,stage1,False,1.0,False
8.57,stage1,False,1.0,False
8.58,stage1,False,1.0,False
8.59,stage1,False,1.0,False
8.6,stage1,False,1.0,False
8.61,stage1,False,1.0,False
8.62,stage1,False,1.0,False
8.63,stage1,False,1.0,False
8.64,stage1,False,1.0,False
8.65,stage1,False,1.0,False
8.66,stage1,False,1.0,False
8.67,stage1,False,1.0,False
